title,doi,authors,year,journal,topic,key_findings,method,dataset,organism
A single-cell transcriptomic atlas characterizes ageing tissues in the mouse,10.1038/s41586-020-2496-1,Tabula Muris Consortium,2020,Nature,衰老图谱,建立18月龄vs3月龄小鼠23个组织的单细胞图谱（>50万细胞），系统描绘衰老过程中细胞组成变化和基因表达改变,"scRNA-seq, 10x Chromium, Smart-seq2, UMAP",Tabula Muris Senis,Mouse
Ageing hallmarks exhibit organ-specific temporal signatures,10.1038/s41586-020-2499-y,"Schaum N, Kessler JA, et al.",2020,Nature,衰老图谱,利用SOM分析揭示17个器官衰老标志物的器官特异性时间动态，发现不同器官衰老进程存在显著差异,"scRNA-seq, 10x Chromium, self-organizing maps (SOM), pseudobulk DE",Tabula Muris Senis,Mouse
A Single-Cell Transcriptome Atlas of the Aging Drosophila Brain,10.1016/j.cell.2018.06.039,"Davie K, Janssen H, et al.",2018,Cell,衰老图谱,"构建果蝇大脑157,000个单细胞转录组图谱，发现衰老相关转录输出下降、线粒体功能变化和神经元细胞大小减小","scRNA-seq, Drop-seq, SCENIC, RNA velocity",Drosophila brain (young vs old),Drosophila
Single-Cell Transcriptomic Atlas of Primate Ovarian Aging,10.1016/j.cell.2020.01.013,"Wang S, Zheng Y, et al.",2020,Cell,灵长类卵巢单细胞衰老图谱,"构建灵长类卵巢单细胞图谱,发现7种卵巢细胞和4种卵母细胞亚型标志物分子, 阐明卵细胞发育进程, 确定抗氧化通路相关基因下调是导致卵巢衰老的主要原因并在人体验证了相关发现","scRNA-seq, 10x Chromium, SCENIC, trajectory analysis",Primate (macaque) ovary,Primate
A Single-Cell Transcriptomic Atlas of Human Skin Aging,10.1016/j.devcel.2021.01.003,"Zou Z, Long X, et al.",2021,Developmental Cell,衰老图谱,构建人类皮肤单细胞图谱，鉴定表皮基底细胞6种亚群，发现HES1调控网络在成纤维细胞衰老中的关键作用,"scRNA-seq, 10x Chromium, trajectory analysis, TF network inference",Human skin (young vs old),Human
Single-cell transcriptomic atlas of mouse cochlear aging,10.1093/procel/pwac058,"Sun G, Zheng Y, et al.",2023,Protein & Cell,耳蜗衰老图谱,"构建小鼠耳蜗衰老单细胞图谱（1-15月龄），蛋白稳态的失去和细胞自噬的加剧是耳蜗的衰老标志物，发现了耳蜗衰老过程中血管纹中间的细胞转录组发生波动，内质网伴侣蛋白HSP90AA1的上调可以缓解伴随衰老的内质网应激诱发的损伤","scRNA-seq, 10x Chromium, WGCNA, trajectory analysis","Mouse cochlea (1, 2, 5, 12, 15 month)",Mouse
Single-cell transcriptome atlas of human mesenchymal stem cells exploring tissue-specific heterogeneity,10.1002/ctm2.650,"Wang J, et al.",2022,Clinical & Translational Medicine,衰老图谱,构建人类MSC单细胞图谱，揭示组织特异性亚群、细胞间通讯网络和供体异质性，为衰老相关MSC功能变化提供参考,"scRNA-seq, 10x Chromium, tSNE, trajectory reconstruction, PPI analysis",Human MSCs (multiple tissues),Human
The Human and Mouse Enteric Nervous System at Single-Cell Resolution,10.1016/j.cell.2020.08.004,"Drokhlyansky E, et al.",2020,Cell,衰老图谱,构建人和小鼠肠神经系统单细胞参考图谱，鉴定21种神经元和3种胶质细胞亚群，揭示ENS的物种保守性与差异性,"scRNA-seq, RAISIN RNA-Seq, 10x Chromium, cell-cell interaction analysis",Human and mouse ENS (colon),Human/Mouse
Molecular and spatial signatures of mouse brain aging at single-cell resolution,10.1016/j.cell.2022.11.021,"William E, et al.",2023,Cell,衰老图谱,结合MERFISH和snRNA-seq，揭示小鼠大脑衰老的分子和空间特征，发现小胶质细胞和星形胶质细胞的炎症激活及空间重排,"snRNA-seq, MERFISH, spatial transcriptomics, Scanpy","Mouse brain (frontal cortex, striatum)",Mouse
Caloric Restriction Reprograms the Single-Cell Transcriptional Landscape of Rattus Norvegicus Aging,10.1016/j.cell.2020.01.025,et al.,2020,Cell,衰老干预,揭示热量限制重编程大鼠8个组织的单细胞转录组衰老景观，发现免疫细胞是CR逆转衰老表型的主要靶细胞类型,"scRNA-seq, snRNA-seq, 10x Chromium, cell-cell communication analysis","Rat multi-tissue (brain, liver, kidney, skin, WAT, BAT, aorta, BM)",Rat
"Cross-tissue, single-cell stromal atlas identifies shared pathological fibroblast states",10.1016/j.xmed.2022.100312,et al.,2022,Medicine,衰老图谱,构建跨组织单细胞间充质图谱，鉴定共享的病理成纤维细胞状态（如CXCL10+CCL19+炎症型），揭示跨组织保守的纤维化通路,"scRNA-seq, 10x Chromium, Harmony integration, weighted PCA","Multiple human tissues (lung, synovium, skin, etc.)",Human
A transcriptome-based single-cell biological age model and resource for tissue-specific aging measures,10.1101/gr.277491.122,"Mao S, Su J, Wang L, et al.",2023,Genome Research,生物年龄模型,开发SCALE方法构建Aging Map数据库，实现单细胞水平的组织特异性生物年龄测量，揭示细胞类型特异性衰老模式,"scRNA-seq bioinformatics, SCALE pipeline, knowledge-guided feature selection",Multi-tissue scRNA-seq datasets (mouse and human),Mouse/Human
KeyPathwayMineR: De Novo Pathway Enrichment in the R Ecosystem,10.3389/fgene.2022.812853,"Mechteridis K, Lauber M, Baumbach J, List M",2022,Frontiers in Genetics,通路富集方法,开发KeyPathwayMineR R包，实现基于生物网络的从头通路富集分析，可发现传统方法遗漏的通路,"Network-based pathway enrichment, R package, Shiny app",SARS-CoV-2 gene expression data (application example),Human
